90	repeat|mobile_element|Class_I|LTR|Ty1/copia|SIRE
91	unknown_CL91
92	repeat|mobile_element|Class_I|LTR|Ty3/gypsy|chromovirus|Tekay
93	repeat|mobile_element|Class_I|LTR|Ty3/gypsy|non-chromovirus|OTA|Athila
94	repeat|mobile_element|Class_I|LTR|Ty1/copia|SIRE
95	unknown_CL95
96	repeat|mobile_element|Class_I|LTR|Ty1/copia|SIRE
97	organelle|plastid
98	repeat|mobile_element|Class_I|LTR
99	repeat|mobile_element|Class_I|LTR|Ty1/copia|TAR
100	repeat|rDNA|45S_rDNA
101	repeat|mobile_element|Class_I|LTR|Ty3/gypsy|chromovirus|CRM
102	repeat|mobile_element|Class_I|LTR|Ty1/copia|Angela
103	repeat|mobile_element|Class_I|LTR|Ty3/gypsy|non-chromovirus|OTA|Athila
104	repeat|mobile_element|Class_I|LTR|Ty3/gypsy|chromovirus|CRM
105	unknown_CL105
106	unknown_CL106
107	repeat|mobile_element|Class_I|LTR|Ty3/gypsy|non-chromovirus|OTA|Tat|Retand
108	organelle|plastid
109	repeat|mobile_element|Class_II|Subclass_1|TIR|EnSpm/CACTA
110	unknown_CL110
111	repeat
112	repeat|mobile_element|Class_I|LTR|Ty3/gypsy|non-chromovirus|OTA|Tat|Retand
113	repeat|satellite
114	unknown_CL114
115	unknown_CL115
116	repeat|mobile_element|Class_II|Subclass_1|TIR|EnSpm/CACTA
117	repeat|mobile_element|Class_I|LTR|Ty3/gypsy|chromovirus|Tekay
118	unknown_CL118
119	repeat|mobile_element|Class_I|LTR|Ty3/gypsy|non-chromovirus|OTA|Athila
120	repeat|mobile_element|Class_I|LTR|Ty1/copia|SIRE
121	repeat|mobile_element|Class_I|LTR|Ty3/gypsy|non-chromovirus|OTA|Athila
122	repeat|mobile_element|Class_I|LTR
123	repeat
124	unknown_CL124
125	repeat
126	repeat|mobile_element|Class_I|LTR|Ty3/gypsy|chromovirus|Tekay
127	organelle|plastid
128	unknown_CL128
129	repeat|mobile_element|Class_I|LTR|Ty3/gypsy|non-chromovirus|OTA|Athila
130	unknown_CL130
131	organelle|plastid
132	repeat|mobile_element|Class_I|LTR|Ty3/gypsy|non-chromovirus|OTA|Athila
133	repeat
134	repeat|mobile_element|Class_I|LTR|Ty3/gypsy|non-chromovirus|OTA|Tat|Retand
135	organelle|plastid
136	repeat|mobile_element|Class_I|LTR|Ty1/copia|Angela
137	organelle|plastid
138	unknown_CL138
139	unknown_CL139
140	unknown_CL140
141	repeat|satellite
142	repeat|mobile_element|Class_I|LTR|Ty3/gypsy|non-chromovirus|OTA|Tat|Retand
143	unknown_CL143
144	repeat|mobile_element|Class_I|LTR|Ty3/gypsy|non-chromovirus|OTA|Tat|Retand
145	repeat|mobile_element|Class_I|LTR
146	unknown_CL146
147	repeat|mobile_element|Class_I|LTR|Ty3/gypsy|non-chromovirus|OTA|Athila
148	organelle|plastid
149	repeat|mobile_element|Class_I|LTR|Ty1/copia|SIRE
150	organelle|plastid
151	unknown_CL151
152	repeat|mobile_element|Class_I|LTR|Ty1/copia|SIRE
153	unknown_CL153
154	organelle|plastid
155	repeat|mobile_element|Class_I|LTR|Ty3/gypsy|non-chromovirus|OTA|Tat|Ogre
156	repeat|mobile_element|Class_II|Subclass_1|TIR|EnSpm/CACTA
157	unknown_CL157
158	organelle|plastid
159	repeat|rDNA|45S_rDNA
160	unknown_CL160
161	unknown_CL161
162	repeat
163	repeat|mobile_element|Class_I|LTR|Ty3/gypsy|chromovirus|Tekay
164	unknown_CL164
165	repeat|mobile_element|Class_I|LTR|Ty1/copia|SIRE
166	repeat|satellite
167	repeat|mobile_element|Class_I|LTR|Ty3/gypsy|chromovirus|CRM
168	unknown_CL168
169	repeat|satellite
170	repeat|satellite
171	unknown_CL171
172	unknown_CL172
173	unknown_CL173
174	repeat|mobile_element|Class_I|LTR|Ty3/gypsy|chromovirus|Tekay
175	unknown_CL175
176	repeat|mobile_element|Class_II|Subclass_1|TIR|EnSpm/CACTA
177	unknown_CL177
178	unknown_CL178
179	repeat|mobile_element|Class_I|LTR|Ty3/gypsy|chromovirus|CRM
180	unknown_CL180
181	unknown_CL181
182	organelle|plastid
183	unknown_CL183
184	repeat|mobile_element|Class_I|LTR|Ty3/gypsy|chromovirus|Tekay
185	organelle|plastid
186	repeat|satellite
187	unknown_CL187
188	unknown_CL188
189	unknown_CL189
190	repeat|mobile_element|Class_I|LTR|Ty1/copia|SIRE
191	unknown_CL191
192	unknown_CL192
193	unknown_CL193
194	unknown_CL194
195	repeat|satellite
196	unknown_CL196
197	repeat|mobile_element|Class_I|LTR|Ty1/copia|Angela
198	repeat|mobile_element|Class_I|LTR|Ty1/copia|Angela
199	unknown_CL199
200	unknown_CL200
201	unknown_CL201
202	organelle|plastid
203	unknown_CL203
204	unknown_CL204
205	unknown_CL205
206	unknown_CL206
207	unknown_CL207
208	unknown_CL208
209	unknown_CL209
210	unknown_CL210
211	repeat|rDNA|5S_rDNA
212	repeat|satellite
213	repeat|mobile_element|Class_I|LINE
214	repeat|mobile_element|Class_II|Subclass_1|TIR|PIF/Harbinger
215	unknown_CL215
216	repeat|mobile_element|Class_I|LTR|Ty3/gypsy|chromovirus|Tekay
217	unknown_CL217
218	unknown_CL218
219	unknown_CL219
220	unknown_CL220
221	repeat|satellite
222	unknown_CL222
223	unknown_CL223
224	unknown_CL224
225	repeat|satellite
226	unknown_CL226
227	unknown_CL227
228	repeat|satellite
229	unknown_CL229
230	repeat|satellite
231	unknown_CL231
232	repeat|mobile_element|Class_I|LTR|Ty1/copia|SIRE
233	unknown_CL233
234	repeat|mobile_element|Class_I|LTR|Ty1/copia|Tork
235	repeat|satellite
236	unknown_CL236
237	repeat|mobile_element|Class_I|LTR|Ty1/copia|SIRE
238	unknown_CL238
239	unknown_CL239
240	unknown_CL240
241	unknown_CL241
242	unknown_CL242
243	unknown_CL243
244	repeat|mobile_element|Class_I|LTR|Ty1/copia|Ale
245	unknown_CL245
246	unknown_CL246
247	unknown_CL247
248	unknown_CL248
249	repeat|mobile_element|Class_I|LTR|Ty1/copia|Angela
250	repeat|mobile_element|Class_I|LINE
251	repeat|mobile_element|Class_II|Subclass_1|TIR|MuDR/Mutator
252	unknown_CL252
253	repeat|mobile_element|Class_I|LTR|Ty3/gypsy|non-chromovirus|OTA|Tat|Retand
254	repeat|mobile_element|Class_II|Subclass_1|TIR|PIF/Harbinger
255	unknown_CL255
256	repeat|mobile_element|Class_I|LTR|Ty3/gypsy|chromovirus|Tekay
257	repeat|mobile_element|Class_I|LTR|Ty3/gypsy|chromovirus|Tekay
258	repeat|mobile_element|Class_I|LTR|Ty3/gypsy|chromovirus|Tekay
259	repeat|mobile_element|Class_I|LTR|Ty3/gypsy|chromovirus|Tekay
260	unknown_CL260
261	unknown_CL261
262	repeat|mobile_element|Class_I|LTR|Ty1/copia|Ikeros
263	unknown_CL263
